Key ID,Car Reg Number,Make,Model,No. of Keys,Key Taken By,Taken Date,Reason of Withdrawal,Key Returned By,Return Date,Status
QMOL-001,LP73 OVH,MERCEDES,V CLASS,1,,,,,,
QMOL-002,LR75 RBU,MERCEDES,S CLASS,1,,07/05/2026 00:00,Taken by Abdul Asrar,,,
QMOL-003,LP24 DXZ,MERCEDES,V CLASS,1,,02/10/2025 00:00,,,,
QMOL-004,KN75 OCP,MERCEDES,V CLASS,1,,,,,,
QMOL-005,LT75 UAN,MERCEDES,V CLASS,1,,,,,,
QMOL-006,KP75 EVC,Volkswagen,TOURAN,1,,,,,,
QMOL-007,LN19 SKZ,MERCEDES,E220D AMGLINE,0,,29/10/2025 00:00,CAR RETURNED,,,
QMOL-008,LK22 OSX,MERCEDES,E CLASS,1,,,,,,
QMOL-009,LL70 OEG,MERCEDES,E CLASS,1,,,,,,
QMOL-010,LP25 DYH,MERCEDES,V CLASS,1,,,,,,
QMOL-011,KF23 ESU,MERCEDES,E CLASS,1,,,,,,
QMOL-012,LP25 DXB,MERCEDES,V CLASS,1,,,,,,
QMOL-013,LP25 DXM,MERCEDES,V CLASS,1,,,TO COLLECT THE CAR (IVAN),,,
QMOL-014,KF23 EVP,MERCEDES,V CLASS,1,,,,,,
QMOL-015,LP25 DWU,MERCEDES,V CLASS,1,,,,,,
QMOL-016,KN75 EWK,Volkswagen,TOURAN,1,,,,,,
QMOL-017,LL74 TYH,MERCEDES,V CLASS,1,,20/02/2025 00:00,1 KEY TAKEN BY IVAN,,,
QMOL-018,EO75 GSV,FORD,TOURNEO,1,,,,,,
QMOL-019,LS70 BVR,MERCEDES,E CLASS,1,,,,,,
QMOL-020,AY72 YVO,FORD,GALAXY,0,,03/06/2026 00:00,Took by Hudatu,,,
QMOL-021,LS23 MXN,MERCEDES,V CLASS,1,,,,,,
QMOL-022,LS23 KXG,MERCEDES,S CLASS,1,,,,,,
QMOL-023,LP25 DWY,MERCEDES,,1,,,,,,
QMOL-024,LR75 RCO,MERCEDES,S CLASS,0,,15/05/2026 00:00,1 key received,,,
QMOL-025,LO71 BPX,MERCEDES,S CLASS,1,,,CHANGE THE KEY,,,
QMOL-026,KE69 CHV,MERCEDES,E CLASS,0,,,,,,
QMOL-027,LO71 MGZ,MERCEDES,S CLASS,1,,,,,,
QMOL-028,LO73 NYR,MERCEDES,V CLASS,1,,,,,,
QMOL-029,LP73 MXY,MERCEDES,V CLASS,1,,,,,,
QMOL-030,LK22 OSU,MERCEDES,S CLASS,1,,,,,,
QMOL-031,LK22 OSW,MERCEDES,E CLASS,1,,,,,,
QMOL-032,LK22 OSV,MERCEDES,E CLASS,1,,,,,,
QMOL-033,KN75 EWH,Volkswagen,TOURAN,1,,,,,,
QMOL-034,LR75 RCF,MERCEDES,S CLASS,1,,14/07/2026 00:00,1,,,
QMOL-035,KF23 EVM,MERCEDES,V CLASS,1,,,,,,
QMOL-036,KF23 EVU,MERCEDES,V CLASS,1,,,,,,
QMOL-037,KF23 EUP,MERCEDES,E CLASS,1,,,,,,
QMOL-038,LL74 TYP,MERCEDES,V CLASS,1,,19/02/2025 00:00,,,,
QMOL-039,LP25 DYA,MERCEDES,V CLASS,1,,,,,,
QMOL-040,LP25 DWM,MERCEDES,V CLASS,1,,,,,,
QMOL-041,LP25 DWY,MERCEDES,V CLASS,1,,,,,,
QMOL-042,KF23 EUT,MERCEDES,E CLASS,,,,,,,
QMOL-043,AV71 MWX,FORD,GALAXY,1,,,,,,
QMOL-044,EF25 RJJ,FORD,TOURAN,1,,,,,,
QMOL-045,AV71 MWU,FORD,GALAXY,1,,,,,,
QMOL-046,KW25 OVZ,Volkswagen,TOURAN,1,,,,,,
QMOL-047,KM25 FGF,Volkswagen,TOURAN,1,,,,,,
QMOL-048,AY71 JCX,FORD,GALAXY,1,,,,,,
QMOL-049,LP25 DWW,MERCEDES,V CLASS,1,,,,,,
QMOL-050,LP25 DYS,MERCEDES,V CLASS,1,,23/04/2025 00:00,,,,
QMOL-051,LS74 MVN,MERCEDES,V CLASS,0,,,,,,
QMOL-052,LO25 YGL,MERCEDES,V CLASS,1,,,,,,
QMOL-053,AV71 MWP,FORD,GALAXY,1,,08/06/2026 00:00,Ivan took- 1key,,,
QMOL-054,LS70 BVU,MERCEDES,S CLASS,1,,,,,,
QMOL-055,KW25 OSB,Volkswagen,GALAXY,1,,09/07/2025 00:00,NEW CAR,,,
QMOL-056,LP25 DXK,MERCEDES,V CLASS,1,,,,,,
QMOL-057,LN19 SLU,MERCEDES,,,,21/10/2025 00:00,CAR RETURNED,,,
QMOL-058,LM70 TVY,MERCEDES,E CLASS,0,,,HAMMAD SAIF TOOK SPARE KEY-BY IVAN,,,
QMOL-059,LS70 BVP,MERCEDES,E CLASS,1,,,,,,
QMOL-060,LN19 VCW,MERCEDES,V CLASS,0,,11/08/2025 00:00,,,,
QMOL-061,AV71 MWM,FORD,GALAXY,1,,,,,,
QMOL-062,AV71 MWK,FORD,GALAXY,1,,,,,,
QMOL-063,LP69 OOV,MERCEDES,V CLASS,1,,25/04/2025 00:00,Spare key,,,
QMOL-064,LP69 OOX,MERCEDES,V CLASS,0,,12/09/2025 00:00,going bak to dealer,,,
QMOL-065,LP69 OOW,MERCEDES,V CLASS,0,,,lease contract ended,,,
QMOL-066,RK71 WLP,Volkswagen,CARAVELLE,1,,,,,,
QMOL-067,LP69 OOY,MERCEDES,V CLASS,0,,,,,,
QMOL-068,LM70 TVW,MERCEDES,E CLASS,0,,,,,,
QMOL-069,LR67 NRJ,MERCEDES,V CLASS,0,,,,,,
QMOL-070,KF23 EUN,MERCEDES,,1,,,,,,
QMOL-071,LL74 RXM,MERCEDES,E CLASS,1,,,,,,
QMOL-072,LS74 MVP,MERCEDES,V CLASS,1,,,,,,
QMOL-073,LS74 MVR,MERCEDES,V CLASS,1,,,,,,
QMOL-074,LL74 RYY,MERCEDES,E CLASS,1,,,,,,
QMOL-075,LR74 VRY,MERCEDES,V CLASS,1,,,,,,
QMOL-076,LP24 NLO,MERCEDES,V CLASS,1,,,,,,
QMOL-077,LP24 KAX,MERCEDES,V CLASS,1,,,,,,
QMOL-078,L924 NMM,MERCEDES,V CLASS,1,,23/08/2024 00:00,1 KEY WITH OSMAN OMER,,,
QMOL-079,LP24 NKU,MERCEDES,V CLASS,1,,,,,,
QMOL-080,LS74 MVO,MERCEDES,V CLASS,1,,,,,,
QMOL-081,LL74 ODM,MERCEDES,V CLASS,1,,,,,,
QMOL-082,LP24 NMZ,MERCEDES,V CLASS,1,,,,,,
QMOL-083,LS73 TYD,MERCEDES,S CLASS,1,,,,,,
QMOL-084,LL74 TYO,MERCEDES,V CLASS,1,,25/02/2025 00:00,1 KEY TAKEN BY IVAN,,,
QMOL-085,LM74 OTU,MERCEDES,V CLASS,1,,,,,,
QMOL-086,LL74 SXW,MERCEDES,E CLASS,1,,,,,,
QMOL-087,EF25 KFC,FORD,TOURNEO,1,,,,,,
QMOL-088,EF25 HUU,FORD,TOURNEO,1,,,,,,
QMOL-089, ,,,,,,,,,
